,date,acc_decide,acc_recovered,acc_death,decide_per_day,recovered_per_day,death_per_day
0,2020-01-20,1,0,0,1,0,0
1,2020-01-21,1,0,0,0,0,0
2,2020-01-22,1,0,0,0,0,0
3,2020-01-23,1,0,0,0,0,0
4,2020-01-24,2,0,0,1,0,0
5,2020-01-25,2,0,0,0,0,0
6,2020-01-26,3,0,0,1,0,0
7,2020-01-27,4,0,0,1,0,0
8,2020-01-28,4,0,0,0,0,0
9,2020-01-29,4,0,0,0,0,0
10,2020-01-30,4,0,0,0,0,0
11,2020-01-31,11,0,0,7,0,0
12,2020-02-01,12,0,0,1,0,0
13,2020-02-02,15,0,0,3,0,0
14,2020-02-03,15,0,0,0,0,0
15,2020-02-04,16,0,0,1,0,0
16,2020-02-05,19,0,0,3,0,0
17,2020-02-06,23,0,0,4,0,0
18,2020-02-07,24,1,0,1,1,0
19,2020-02-08,24,1,0,0,0,0
20,2020-02-09,25,3,0,1,2,0
21,2020-02-10,27,3,0,2,0,0
22,2020-02-11,28,3,0,1,0,0
23,2020-02-12,28,7,0,0,4,0
24,2020-02-13,28,7,0,0,0,0
25,2020-02-14,28,7,0,0,0,0
26,2020-02-15,28,9,0,0,2,0
27,2020-02-16,29,9,0,1,0,0
28,2020-02-17,30,10,0,1,1,0
29,2020-02-18,31,12,0,1,2,0
30,2020-02-19,31,12,0,0,0,0
31,2020-02-20,104,16,1,73,4,1
32,2020-02-21,204,16,2,100,0,1
33,2020-02-22,433,16,2,229,0,0
34,2020-02-23,602,18,6,169,2,4
35,2020-02-24,833,18,8,231,0,2
36,2020-02-25,977,22,10,144,4,2
37,2020-02-26,1261,22,12,284,0,2
38,2020-02-27,1766,22,13,505,0,1
39,2020-02-28,2337,22,13,571,0,0
40,2020-02-29,3150,27,16,813,5,3
41,2020-03-01,3736,30,17,586,3,1
42,2020-03-02,4335,30,28,599,0,11
43,2020-03-03,5186,30,28,851,0,0
44,2020-03-04,5621,41,35,435,11,7
45,2020-03-05,6088,41,35,467,0,0
46,2020-03-06,6593,135,42,505,94,7
47,2020-03-07,7041,135,44,448,0,2
48,2020-03-08,7314,118,50,273,-17,6
49,2020-03-09,7478,118,53,164,0,3
50,2020-03-10,7513,247,54,35,129,1
51,2020-03-11,7755,288,60,242,41,6
52,2020-03-12,7869,333,66,114,45,6
53,2020-03-13,7979,510,66,110,177,0
54,2020-03-14,8086,510,72,107,0,6
55,2020-03-15,8162,510,75,76,0,3
56,2020-03-16,8236,1137,75,74,627,0
57,2020-03-17,8320,1407,81,84,270,6
58,2020-03-18,8413,1540,84,93,133,3
59,2020-03-19,8565,1540,91,152,0,7
60,2020-03-20,8652,1540,94,87,0,3
61,2020-03-21,8799,1540,102,147,0,8
62,2020-03-22,8961,2909,111,162,1369,9
63,2020-03-23,8961,2909,111,0,0,0
64,2020-03-24,9037,3507,120,76,598,9
65,2020-03-25,9137,3730,126,100,223,6
66,2020-03-26,9241,4144,131,104,414,5
67,2020-03-27,9332,4528,139,91,384,8
68,2020-03-28,9478,4811,144,146,283,5
69,2020-03-29,9583,5033,152,105,222,8
70,2020-03-30,9661,5228,158,78,195,6
71,2020-03-31,9786,5408,162,125,180,4
72,2020-04-01,9887,5567,165,101,159,3
73,2020-04-02,9976,5828,169,89,261,4
74,2020-04-03,10062,6021,174,86,193,5
75,2020-04-04,10156,6325,177,94,304,3
76,2020-04-05,10237,6463,183,81,138,6
77,2020-04-06,10284,6598,186,47,135,3
78,2020-04-07,10331,6694,192,47,96,6
79,2020-04-08,10384,6776,200,53,82,8
80,2020-04-09,10423,6973,204,39,197,4
81,2020-04-10,10450,7117,208,27,144,4
82,2020-04-11,10480,7243,211,30,126,3
83,2020-04-12,10512,7368,214,32,125,3
84,2020-04-13,10537,7447,217,25,79,3
85,2020-04-14,10564,7534,222,27,87,5
86,2020-04-15,10591,7616,225,27,82,3
87,2020-04-16,10613,7757,229,22,141,4
88,2020-04-17,10635,7829,230,22,72,1
89,2020-04-18,10653,7937,232,18,108,2
90,2020-04-19,10661,8042,234,8,105,2
91,2020-04-20,10674,8114,236,13,72,2
92,2020-04-21,10683,8213,237,9,99,1
93,2020-04-22,10694,8277,238,11,64,1
94,2020-04-23,10708,8501,240,14,224,2
95,2020-04-24,10718,8635,240,10,134,0
96,2020-04-25,10728,8717,242,10,82,2
97,2020-04-26,10738,8764,243,10,47,1
98,2020-04-27,10752,8854,244,14,90,1
99,2020-04-28,10761,8922,246,9,68,2
100,2020-04-29,10765,9059,247,4,137,1
101,2020-04-30,10774,9072,248,9,13,1
102,2020-05-01,10780,9123,250,6,51,2
103,2020-05-02,10793,9183,250,13,60,0
104,2020-05-03,10801,9217,252,8,34,2
105,2020-05-04,10804,9283,254,3,66,2
106,2020-05-05,10806,9333,255,2,50,1
