날짜,코로나
2020-01-20,0.02489
2020-01-21,0.04787
2020-01-22,0.07532
2020-01-23,0.32646
2020-01-24,0.51525
2020-01-25,0.4662
2020-01-26,0.77592
2020-01-27,0.84986
2020-01-28,1.20562
2020-01-29,1.20472
2020-01-30,19.26192
2020-01-31,17.10705
2020-02-01,5.98193
2020-02-02,2.53683
2020-02-03,3.07784
2020-02-04,2.4778
2020-02-05,2.56991
2020-02-06,3.56117
2020-02-07,2.90259
2020-02-08,2.33212
2020-02-09,2.26926
2020-02-10,2.42846
2020-02-11,1.88381
2020-02-12,11.35931
2020-02-13,20.51301
2020-02-14,6.80127
2020-02-15,2.29217
2020-02-16,2.3068
2020-02-17,2.57936
2020-02-18,4.29233
2020-02-19,13.96531
2020-02-20,34.68034
2020-02-21,51.09754
2020-02-22,59.87364
2020-02-23,73.86995
2020-02-24,100.0
2020-02-25,95.36982
2020-02-26,85.01993
2020-02-27,76.61314
2020-02-28,64.84787
2020-02-29,60.27271
2020-03-01,55.13055
2020-03-02,71.36585
2020-03-03,62.94689
2020-03-04,62.65137
2020-03-05,56.91893
2020-03-06,51.68875
2020-03-07,41.71734
2020-03-08,38.61686
2020-03-09,45.88142
2020-03-10,46.79726
2020-03-11,40.37572
2020-03-12,33.58026
2020-03-13,31.22379
2020-03-14,24.83554
2020-03-15,33.249
2020-03-16,39.22168
2020-03-17,38.92025
2020-03-18,32.54801
2020-03-19,32.23426
2020-03-20,32.0343
2020-03-21,28.09602
2020-03-22,25.97144
2020-03-23,30.89194
2020-03-24,29.36184
2020-03-25,29.46684
2020-03-26,28.86864
2020-03-27,28.36903
2020-03-28,16.21255
2020-03-29,23.9143
2020-03-30,26.85551
2020-03-31,35.95627
2020-04-01,23.86618
2020-04-02,25.31168
2020-04-03,24.21167
2020-04-04,21.10161
2020-04-05,19.16067
2020-04-06,25.16549
2020-04-07,29.44479
2020-04-08,26.35227
2020-04-09,21.97008
2020-04-10,24.20009
2020-04-11,22.8358
2020-04-12,23.33076
2020-04-13,26.34655
2020-04-14,22.15624
2020-04-15,18.29702
2020-04-16,25.33079
2020-04-17,27.2386
2020-04-18,21.64751
2020-04-19,21.93189
2020-04-20,26.64517
2020-04-21,25.10184
2020-04-22,23.94085
2020-04-23,22.99758
2020-04-24,21.32063
2020-04-25,18.45334
2020-04-26,19.43312
2020-04-27,21.79523
2020-04-28,19.78159
2020-04-29,20.99785
2020-04-30,17.74298
2020-05-01,19.40851
2020-05-02,10.49834
2020-05-03,18.78554
2020-05-04,15.03146
2020-05-05,16.24762
2020-05-06,18.31509
2020-05-07,21.04661
2020-05-08,25.71895
2020-05-09,22.03086
2020-05-10,24.15734
2020-05-11,25.19271
2020-05-12,22.5163
2020-05-13,23.0185
2020-05-14,22.83153
2020-05-15,19.21757
2020-05-16,17.08804
2020-05-17,15.56257
2020-05-18,15.31702
2020-05-19,16.02175
2020-05-20,15.58483
2020-05-21,13.72336
2020-05-22,13.68494
2020-05-23,11.52469
2020-05-24,10.65896
2020-05-25,13.04356
2020-05-26,12.92282
2020-05-27,15.8507
2020-05-28,22.71466
2020-05-29,20.5661
2020-05-30,14.58354
2020-05-31,11.2126
2020-06-01,12.83942
2020-06-02,11.96987
2020-06-03,12.26485
2020-06-04,11.13099
2020-06-05,10.06122
2020-06-06,10.77363
2020-06-07,11.35024
2020-06-08,12.41363
2020-06-09,11.79314
2020-06-10,10.49991
2020-06-11,9.75522
2020-06-12,10.1967
2020-06-13,8.19624
2020-06-14,7.80868
2020-06-15,9.78577
2020-06-16,8.895
2020-06-17,9.12349
2020-06-18,8.41507
2020-06-19,8.64467
2020-06-20,8.45924
2020-06-21,8.18884
2020-06-22,9.6122
2020-06-23,9.96598
2020-06-24,8.41206
2020-06-25,8.22945
2020-06-26,8.08775
2020-06-27,7.44358
2020-06-28,8.0544
2020-06-29,9.07906
2020-06-30,7.92655
2020-07-01,8.41325
2020-07-02,9.05829
2020-07-03,9.2188
2020-07-04,8.37012
2020-07-05,8.20516
2020-07-06,8.95584
2020-07-07,7.86805
2020-07-08,8.6209
2020-07-09,7.98731
2020-07-10,6.63164
2020-07-11,5.87646
2020-07-12,5.80205
2020-07-13,6.5805
2020-07-14,6.84332
2020-07-15,6.20419
2020-07-16,6.17517
2020-07-17,6.58669
2020-07-18,5.80403
2020-07-19,5.28839
2020-07-20,6.39976
2020-07-21,6.7682
2020-07-22,6.74961
2020-07-23,6.23007
2020-07-24,6.1922
2020-07-25,7.2577
2020-07-26,6.33994
2020-07-27,5.90847
2020-07-28,5.64852
2020-07-29,5.4806
2020-07-30,5.72532
2020-07-31,5.9201
2020-08-01,4.79396
2020-08-02,4.25198
2020-08-03,4.78615
2020-08-04,5.60994
2020-08-05,4.98161
2020-08-06,4.77585
2020-08-07,4.76251
2020-08-08,3.87219
2020-08-09,3.52741
2020-08-10,4.08394
2020-08-11,5.11442
2020-08-12,5.84629
2020-08-13,5.85933
2020-08-14,13.9054
2020-08-15,15.07761
2020-08-16,22.4701
2020-08-17,24.16649
2020-08-18,28.46727
2020-08-19,29.40643
2020-08-20,28.16743
2020-08-21,26.08513
2020-08-22,21.72757
2020-08-23,23.22267
2020-08-24,30.77903
2020-08-25,27.15448
2020-08-26,25.39605
2020-08-27,32.07943
2020-08-28,26.39719
2020-08-29,18.68276
2020-08-30,17.01979
2020-08-31,22.16445
2020-09-01,20.35141
2020-09-02,18.49677
2020-09-03,17.37996
2020-09-04,19.20106
2020-09-05,14.05781
2020-09-06,16.85067
2020-09-07,17.84566
2020-09-08,19.88944
2020-09-09,19.36441
2020-09-10,19.10692
2020-09-11,17.83399
2020-09-12,15.99325
2020-09-13,17.52726
2020-09-14,16.51834
2020-09-15,13.18838
2020-09-16,10.93927
2020-09-17,11.69981
2020-09-18,10.33997
2020-09-19,8.6038
2020-09-20,8.66961
2020-09-21,11.1666
2020-09-22,11.35598
2020-09-23,10.88972
2020-09-24,10.16765
2020-09-25,8.93093
2020-09-26,7.74821
2020-09-27,7.30398
2020-09-28,8.88774
2020-09-29,9.11436
2020-09-30,8.993
2020-10-01,8.80613
2020-10-02,9.05569
2020-10-03,8.01512
2020-10-04,8.03025
2020-10-05,10.47958
2020-10-06,9.28909
2020-10-07,9.67804
2020-10-08,9.19799
2020-10-09,7.04893
2020-10-10,6.75595
2020-10-11,9.74772
2020-10-12,10.60868
2020-10-13,9.57497
2020-10-14,10.79879
2020-10-15,9.84202
2020-10-16,9.11808
2020-10-17,6.61218
2020-10-18,6.31285
2020-10-19,7.5931
2020-10-20,6.84377
2020-10-21,7.05108
2020-10-22,8.32899
2020-10-23,9.92537
2020-10-24,7.22475
2020-10-25,5.77767
2020-10-26,8.00341
2020-10-27,7.26892
2020-10-28,7.21344
2020-10-29,7.71773
2020-10-30,6.82177
2020-10-31,6.2757
2020-11-01,9.10357
2020-11-02,8.0986
2020-11-03,6.10038
2020-11-04,6.32343
2020-11-05,6.58681
